title,time_published,summary,overall_sentiment_score,overall_sentiment_label,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
New Study: 37% of Sales Professionals Face Greater Responsibilities but No Additional Resources or Pay,20220719T100000,"The Great Resignation exposes challenges associated with antiquated selling technologies and practices AUSTIN, Texas, July 19, 2022 /PRNewswire/ -- Sellers remain resilient despite challenges related to the pandemic and ensuing Great Resignation.",0.155693,Somewhat-Bullish,ORCL,0.344473,0.174761,Somewhat-Bullish
Analyzing Oracle's Short Interest,20220719T140409,"Oracle's ( NYSE:ORCL ) short percent of float has risen 64.15% since its last report. The company recently reported that it has 13.16 million shares sold short, which is 0.87% of all regular shares that are available for trading.",0.27424,Somewhat-Bullish,ORCL,0.118647,0.08568,Neutral
Oracle  ( ORCL )  Gains But Lags Market: What You Should Know,20220720T220019,"Oracle (ORCL) closed the most recent trading day at $72.59, moving +0.48% from the previous trading session.",0.181454,Somewhat-Bullish,ORCL,0.546745,0.241807,Somewhat-Bullish
Should You Invest in the First Trust Cloud Computing ETF  ( SKYY ) ?,20220721T102006,Sector ETF report for ...,0.162734,Somewhat-Bullish,ORCL,0.125789,0.276488,Somewhat-Bullish
Aircraft MRO Market to Hit USD 9.76 Billion by 2029 | At 4.93% CAGR,20220726T113946,"Pune, India, July 26, 2022 ( GLOBE NEWSWIRE ) -- The global aircraft MRO market size was USD 6.73 billion in 2021. The market is projected to grow from USD 6.95 billion in 2022 to USD 9.76 billion by 2029 at an estimated CAGR of 4.93% in 2022-2029.",0.23402,Somewhat-Bullish,ORCL,0.04794,-0.019011,Neutral
Bitwave Achieves 'Built for NetSuite' Status,20220726T120000,New SuiteApp for crypto accounting and tax meets Oracle NetSuite SuiteCloud development standards and best practices,0.319721,Somewhat-Bullish,ORCL,0.06179,0.0,Neutral
"Sports Analytics Market, Increase in the adoption of cloud-based deployment solutions to boost market growth - Technavio",20220726T125000,Technavio categorizes the global Sports Analytics Market as a part of the global application software market within the information technology market.,0.308278,Somewhat-Bullish,ORCL,0.055881,0.075884,Neutral
Oracle  ( ORCL )  Stock Moves -1.11%: What You Should Know,20220726T220017,"Oracle (ORCL) closed the most recent trading day at $74.03, moving -1.11% from the previous trading session.",0.16185,Somewhat-Bullish,ORCL,0.677342,0.217883,Somewhat-Bullish
"Grant Management Software Market Revenue to Cross $2.90Bn, Globally, by 2027 - Exclusive Study by The Insight Partners",20220727T092831,"New York, July 27, 2022 ( GLOBE NEWSWIRE ) -- The Insight Partners published latest research study on ""Grant Management Software Market Forecast to 2027 - COVID-19 Impact and Global Analysis by Component ( Solution and Services ) , Deployment Type ( Cloud and On-Premise ) , Organization Size ( ...",0.289671,Somewhat-Bullish,ORCL,0.024102,0.073677,Neutral
Oracle Recognized as Leader in the 2022 Gartner® Magic Quadrant™ for Cloud ERP for Service-Centric Enterprises,20220727T120000,"Oracle Fusion Cloud ERP positioned as highest in ""Ability to Execute"" and furthest on ""Completeness of Vision"" in service-centric cloud ERP market analysis",0.250209,Somewhat-Bullish,ORCL,0.862333,0.455063,Bullish
Oracle Recognized as a Leader in the IDC MarketScape: U.S. Business Intelligence and Analytics Platforms 2022 Vendor Assessment,20220728T160700,"Strong natural language capabilities, open semantic layer, and extensive customer support ecosystem noted as key strengths of Oracle Analytics AUSTIN, Texas, July 28, 2022 /PRNewswire/ -- Oracle today announced that it has been recognized as a Leader in the IDC MarketScape: U.S.",0.318966,Somewhat-Bullish,ORCL,0.820438,0.56325,Bullish
Oracle  ( ORCL )  Dips More Than Broader Markets: What You Should Know,20220801T220006,"In the latest trading session, Oracle (ORCL) closed at $77.44, marking a -0.51% move from the previous day.",0.145021,Neutral,ORCL,0.629492,0.093817,Neutral
Tesla Now Has In-House Software For Tracking Job Applicants: Report,20220803T111432,"Tesla, Inc. TSLA has developed proprietary software to track job applicants, which could help the company cut down on its hiring costs, the Information reported, citing current and former employees involved in hiring. The move is part of Musk's efforts to reduce reliance on external software ...",-0.051372,Neutral,ORCL,0.340915,0.0,Neutral
"If You Invested $1000 In This Stock 15 Years Ago, You Would Have $3,800 Today",20220803T165348,"Oracle ORCL has outperformed the market over the past 15 years by 2.19% on an annualized basis producing an average annual return of 9.4%. Currently, Oracle has a market capitalization of $203.47 billion.",0.171182,Somewhat-Bullish,ORCL,0.570165,0.313531,Somewhat-Bullish
Elon Musk Suggests Big Tesla Factory Expansion Plans,20220804T225723,"Tesla Chief Executive Elon Musk said Thursday that the electric-vehicle maker, which is striving to sell 20 million vehicles annually, could ultimately build 10 or 12 factories. An announcement about Tesla's next factory location could come later this year, he said at Tesla's annual shareholder ...",-0.031256,Neutral,ORCL,0.060694,0.074,Neutral
"Tesla Shareholder Meeting: Board Approves 3-For-1 Stock Split, Elon Musk Shares Cybertruck Update",20220805T015432,"Tesla Inc TSLA held its annual shareholder meeting at its manufacturing facility in Austin, Texas on Thursday evening. Most of the 13 board recommendations were passed by shareholders, while CEO Elon Musk charted the electric vehicle maker's progress.",0.160414,Somewhat-Bullish,ORCL,0.143415,0.085152,Neutral
Oracle lays off hundreds of employees,20220805T202400,"Oracle Corp. laid off hundreds of employees this week as the business software provider prioritizes its healthcare IT services and cloud businesses, according to people familiar with the company's actions.",-0.152892,Somewhat-Bearish,ORCL,0.827318,-0.557734,Bearish
Oracle  ( ORCL )  Dips More Than Broader Markets: What You Should Know,20220808T220005,"In the latest trading session, Oracle (ORCL) closed at $76.47, marking a -1.14% move from the previous day.",0.210658,Somewhat-Bullish,ORCL,0.608634,0.30565,Somewhat-Bullish
Stadium Goers Root for High-Tech Outings,20220809T114500,New Oracle survey shows fans want tech to cut waits and boost interactions with favorite teams and artists Many fans draw the tech line at robot umpires and referees,0.273955,Somewhat-Bullish,ORCL,0.492994,0.513088,Bullish
Oracle Extends AT&T Cloud Agreement with New Five-Year Deal,20220810T153000,"AUSTIN, Texas, Aug. 10, 2022 /PRNewswire/ -- Oracle has renewed a strategic agreement with AT&T that will help give new capacity and capabilities for the company's database and application workloads running in Oracle Cloud.",0.155685,Somewhat-Bullish,ORCL,0.996364,0.274969,Somewhat-Bullish
TCC selects Oracle NetSuite ERP to power comprehensive inventory funding,20220810T153700,"MENLO PARK, Calif., Aug. 10, 2022 /PRNewswire/ -- Trade Capital Corporation ( TCC ) , an inventory funding disruptor, has selected Oracle NetSuite as the backbone of its ERP system.",0.34432,Somewhat-Bullish,ORCL,0.09186,0.0,Neutral
Here's How Investors Can Find Strong Computer and Technology Stocks with the Zacks ESP Screener,20220815T125003,The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now.,0.370232,Bullish,ORCL,0.369685,0.429936,Bullish
Oracle  ( ORCL )  Stock Sinks As Market Gains: What You Should Know,20220815T220004,"Oracle (ORCL) closed the most recent trading day at $79.11, moving -0.05% from the previous trading session.",0.199841,Somewhat-Bullish,ORCL,0.561606,0.262857,Somewhat-Bullish
Here's How Much You Would Have Made Owning Oracle Stock In The Last 15 Years,20220816T185209,"Oracle ORCL has outperformed the market over the past 15 years by 2.44% on an annualized basis producing an average annual return of 9.9%. Currently, Oracle has a market capitalization of $212.23 billion.",0.171182,Somewhat-Bullish,ORCL,0.570165,0.313531,Somewhat-Bullish
"With 10.3% CAGR, Higher Education Technology Market Size to Reach USD 169.72 Billion [2022-2028]",20220817T091852,"Pune, India, Aug. 17, 2022 ( GLOBE NEWSWIRE ) -- The global Higher Education Technology Market size is expected to gain momentum by reaching USD 169.72 billion by 2028 while exhibiting a CAGR of 10.3% between 2022 to 2028.",0.258332,Somewhat-Bullish,ORCL,0.027571,0.400243,Bullish
Palo Alto  ( PANW )  to Report Q4 Earnings: What's in the Offing?,20220818T120200,Palo Alto's (PANW) Q4 revenues are expected to have benefited from the heightened demand for cybersecurity solutions.,0.240969,Somewhat-Bullish,ORCL,0.141448,0.136788,Neutral
Is a Beat Likely for Intuit  ( INTU )  This Earnings Season?,20220818T121000,"Though the strong momentum of the online ecosystem and revenue contributions from Credit Karma are likely to aid Intuit's (INTU) Q4 results, an earlier IRS tax filing deadline is likely to have weighed on the Consumer tax business.",0.222796,Somewhat-Bullish,ORCL,0.139804,0.134649,Neutral
What Are Whales Doing With Oracle,20220819T184832,"A whale with a lot of money to spend has taken a noticeably bearish stance on Oracle. Looking at options history for Oracle ORCL we detected 15 strange trades. If we consider the specifics of each trade, it is accurate to state that 6% of the investors opened trades with bullish expectations and ...",0.159477,Somewhat-Bullish,ORCL,0.42503,0.042822,Neutral
Check Out What Whales Are Doing With ORCL,20220822T160834,"Someone with a lot of money to spend has taken a bullish stance on Oracle ORCL. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",0.167886,Somewhat-Bullish,ORCL,0.509589,0.357513,Bullish
Better Value Tech Stock: Oracle vs. Cisco,20220823T095500,Which blue chip tech giant is the better bear market buy?,0.115564,Neutral,ORCL,0.640683,0.378222,Bullish
Analyzing Oracle's Short Interest,20220823T171229,"Oracle's ( NYSE:ORCL ) short percent of float has risen 7.84% since its last report. The company recently reported that it has 16.65 million shares sold short, which is 1.1% of all regular shares that are available for trading.",0.27424,Somewhat-Bullish,ORCL,0.118647,0.08568,Neutral
Oracle  ( ORCL )  Stock Moves -0.07%: What You Should Know,20220823T220009,"Oracle (ORCL) closed the most recent trading day at $76.41, moving -0.07% from the previous trading session.",0.193393,Somewhat-Bullish,ORCL,0.613743,0.211344,Somewhat-Bullish
Salesforce.com  ( CRM )  Q2 Earnings and Revenues Surpass Estimates,20220824T212507,"Salesforce.com (CRM) delivered earnings and revenue surprises of 16.67% and 0.34%, respectively, for the quarter ended July 2022. Do the numbers hold clues to what lies ahead for the stock?",0.142026,Neutral,ORCL,0.143415,0.144793,Neutral
VMware  ( VMW )  Surpasses Q2 Earnings and Revenue Estimates,20220825T212509,"VMware (VMW) delivered earnings and revenue surprises of 1.86% and 0.78%, respectively, for the quarter ended July 2022. Do the numbers hold clues to what lies ahead for the stock?",0.164615,Somewhat-Bullish,ORCL,0.140896,0.143376,Neutral
Oracle  ( ORCL )  Stock Moves -0.62%: What You Should Know,20220829T220008,"In the latest trading session, Oracle (ORCL) closed at $74.19, marking a -0.62% move from the previous day.",0.125401,Neutral,ORCL,0.613743,0.155883,Somewhat-Bullish
"In This Economy, Even Britney Spears Is Trying To Sell A $2M Condo",20220831T223300,"The pop star bought it in 2001 for $920,000.",0.110786,Neutral,ORCL,0.137671,0.054201,Neutral
Why MongoDB Stock Was Falling This Morning,20220901T160616,"Demand for the company's Atlas platform remains robust, but investors wanted to see more.",0.155174,Somewhat-Bullish,ORCL,0.118647,0.195259,Somewhat-Bullish
Oracle  ( ORCL )  Dips More Than Broader Markets: What You Should Know,20220906T220018,"Oracle (ORCL) closed at $73.83 in the latest trading session, marking a -1.14% move from the prior day.",0.108278,Neutral,ORCL,0.624172,0.178262,Somewhat-Bullish
Oracle Q1 Preview: Double-Digit Revenue Growth Inbound?,20220907T214600,"Oracle has a strong earnings track record, exceeding the Zacks Consensus EPS Estimate in nine of its previous ten quarterly reports.",0.287024,Somewhat-Bullish,ORCL,0.853391,0.544724,Bullish
Oracle  ( ORCL )  Gains But Lags Market: What You Should Know,20220907T215021,"Oracle (ORCL) closed the most recent trading day at $74.49, moving +0.89% from the previous trading session.",0.15423,Somewhat-Bullish,ORCL,0.543535,0.312281,Somewhat-Bullish
Previewing the Q3 Earnings Season as Estimates Slide,20220907T220800,"Estimates for the last two quarters of this year and full-year 2023 are coming down, even though positive revisions to the Energy sector continue to partly offset those estimate cuts elsewhere.",0.179534,Somewhat-Bullish,ORCL,0.128135,0.120105,Neutral
Previewing the Q3 Earnings Season as Estimates Slide,20220907T221000,"Estimates for the last two quarters of this year and full-year 2023 are coming down, even though positive revisions to the Energy sector continue to partly offset those estimate cuts elsewhere.",0.179534,Somewhat-Bullish,ORCL,0.128135,0.120105,Neutral
"Zacks Earnings Trends Highlights: JPMorgan, Oracle, Costco and FedEx",20220908T105000,"JPMorgan, Oracle, Costco and FedEx are part of Zacks Earnings Trends article.",0.181702,Somewhat-Bullish,ORCL,0.12013,0.116607,Neutral
What To Expect From Oracle Stock?,20220908T130045,Oracle's stock (NYSE: ORCL) has lost approximately 15% YTD as compared to the 18% drop in the S&P500 index over the same period.,0.252626,Somewhat-Bullish,ORCL,0.244109,0.174624,Somewhat-Bullish
Analyzing Oracle's Short Interest,20220908T132829,"Oracle's ( NYSE:ORCL ) short percent of float has fallen 9.09% since its last report. The company recently reported that it has 15.17 million shares sold short, which is 1.0% of all regular shares that are available for trading.",0.244099,Somewhat-Bullish,ORCL,0.118647,0.033526,Neutral
Human Resource Technology Market to Touch $35.68 Billion by 2028 | 63% Business are willing to Make Use of AI for HR Analytics,20220908T143035,"Westford, USA, Sept. 08, 2022 ( GLOBE NEWSWIRE ) -- The field of human resource technology market is experiencing a considerable amount of growth due to the increasing demand for highly skilled and knowledgeable employees.",0.375743,Bullish,ORCL,0.031405,0.039866,Neutral
Oracle  ( NYSE:ORCL )  - This Is What Whales Are Betting On Oracle,20220909T204531,"A whale with a lot of money to spend has taken a noticeably bullish stance on Oracle. Looking at options history for Oracle ORCL we detected 14 strange trades. If we consider the specifics of each trade, it is accurate to state that 64% of the investors opened trades with bullish expectations ...",0.190042,Somewhat-Bullish,ORCL,0.716023,0.306263,Somewhat-Bullish
"Stocks Extend Gains, Week Ahead, Elon Musk, Disney, Oracle - Five Things To Know",20220912T090000,"Stock futures extend gains, dollar slumps. Week Ahead: inflation, retail sales data in focus. Elon Musk makes another plea to scrap Twitter takeover. Disney shares bump as activist backs keeping ESPN and Oracle earnings to focus on cloud growth, dollar impact.",0.041251,Neutral,ORCL,0.228841,-0.007234,Neutral
Stock Market Today - 9/12: Stocks Extend Gains Amid Dollar Retreat With Inflation Data In Focus,20220912T115800,Stocks are trending higher after snapping a three-week losing streak as the dollar continues to slide against its global currency peers.,0.048544,Neutral,ORCL,0.150278,0.146209,Neutral
Oracle  ( NYSE:ORCL )  - After-Hours Alert: Why Oracle Stock Is Moving,20220912T201807,Oracle Corp ORCL shares were volatile in Monday's after-hours session after the company reported worse-than-expected financial results. The company provided positive commentary on revenue growth expectations for the coming quarters.,0.1878,Somewhat-Bullish,ORCL,0.775204,0.39524,Bullish
Oracle Quarterly Results Mixed; Includes Cerner Acquisition,20220912T202400,ORCL Stock Wavers On Quarterly Earnings Investor's Business Daily ...,0.229347,Somewhat-Bullish,ORCL,0.827318,0.220644,Somewhat-Bullish
Oracle Quarterly Results Mixed; Includes Cerner Acquisition,20220912T202400,ORCL Stock Wavers On Quarterly Earnings Investor's Business Daily ...,0.217305,Somewhat-Bullish,ORCL,0.926714,0.20429,Somewhat-Bullish
Oracle Sales Top Guidance but Profits Missed Due to the Strong Dollar,20220912T220800,Oracle Stock Rises. Sales Topped Guidance but Profits Missed. ...,0.309156,Somewhat-Bullish,ORCL,0.963653,0.518104,Bullish
Market Rally Won't Discourage Fed from Cranking Rates,20220912T222500,"While mini-rallies like these do help us feel better about our equities portfolios, the do not discourage the Fed from keeping the heat on interest rate levels.",0.12584,Neutral,ORCL,0.29234,0.114705,Neutral
Oracle  ( NYSE:ORCL )  - Market Volatility Increases Ahead Of US Inflation Data,20220913T081037,"U.S. stocks closed higher on Monday, ahead of the much-awaited inflation data for August. Markets are expecting data to show easing in US inflation. Analysts expect annual inflation falling to an 8.1% rate in August, compared to 8.5% in July. Core CPI, however, might show an increase of 6.1% ...",-0.043157,Neutral,ORCL,0.374312,0.287043,Somewhat-Bullish
"Stocks Push Gains, Inflation, Peloton, Oracle And Starbucks In Focus - Five Things To Know",20220913T084400,"Stock futures add to gains ahead of inflation data. Headline CPI may tumble, but core likely sticky. Peloton slides as co-founders depart. Oracle bumps higher on cloud revenue forecast and Starbucks investor day to guide new CEO strategy.",-0.051002,Neutral,ORCL,0.167554,0.0,Neutral
"Core & Main  ( NYSE:CNM ) , Dow  ( NYSE:DOW )  - Dow, Nasdaq Futures Move Higher; All Eyes On Inflation Data",20220913T093245,"U.S. stock futures traded higher in early pre-market trade on Tuesday after recording gains on Monday. The Dow Jones surged around 230 points, while the Nasdaq Composite jumped more than 150 points in the previous session. The NFIB small business optimism index for August is scheduled for release ...",0.002427,Neutral,ORCL,0.140485,0.142391,Neutral
Is Invesco Dynamic Large Cap Value ETF  ( PWV )  a Strong ETF Right Now?,20220913T102005,Smart Beta ETF report for ...,0.354997,Bullish,ORCL,0.110717,0.268326,Somewhat-Bullish
Futures rise ahead of key inflation report,20220913T110300,"A trader works, as Federal Reserve Chair Jerome Powell is seen delivering remarks on a screen, on the floor of the New York Stock Exchange ( NYSE ) in New York City, U.S. May 4, 2022. REUTERS/Brendan McDermid",0.062393,Neutral,ORCL,0.092927,0.0,Neutral
"Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY )  - S&P 500, Nasdaq Futures Surge With All Eyes On Inflation Data Today - Twitter, Peloton, Oracle Stocks In Focus",20220913T110939,"The major U.S. index futures are pointing to a positive open by Wall Street stocks on Tuesday. Notwithstanding the early pointers, sentiment will largely hinge on the consumer price inflation report for August. On Monday, U.S. stocks advanced for a fourth straight session, with the major averages ...",0.007315,Neutral,ORCL,0.154951,0.23334,Somewhat-Bullish
Oracle  ( NYSE:ORCL )  - These Analysts Boost Oracle's PT After Q1 Results,20220913T121437,"Oracle Corporation ORCL posted downbeat earnings for its first quarter. However, the company issued positive commentary on revenue growth expectations for the coming quarters. Oracle shares rose 1.7% to $78.42 on Tuesday. These analysts made changes to their price targets on Oracle following the ...",0.132046,Neutral,ORCL,0.988598,0.261722,Somewhat-Bullish
Oracle  ( NYSE:ORCL )  - Why Oracle Stock Is Climbing Higher Today,20220913T122904,Oracle Corp ORCL shares are trading higher Tuesday after the company reported financial results and provided positive commentary on revenue growth expectations for the coming quarters. Multiple analysts also raised price targets on the stock following the company's quarterly results.,0.151606,Somewhat-Bullish,ORCL,0.833178,0.302036,Somewhat-Bullish
Oracle luring customers away from Amazon as cloud battle intensifies: Larry Ellison,20220913T134800,"The software giant is luring customers away from Amazon Web Services to Oracle Cloud Infrastructure, according to Chairman Larry Ellison.",0.148062,Neutral,ORCL,0.757528,0.199576,Somewhat-Bullish
Here's Oracle's Must-Hold Support Level After Mixed Earnings Report,20220913T154800,Oracle stock is wavering following a mixed earnings report. Here's the level it has to hold going forward.,0.004866,Neutral,ORCL,0.729067,0.003924,Neutral
"Oracle's Cloud Strategy Is Working, but Margins Softened",20220913T163100,"For multiple quarters now, Oracle has been making the case that it can return to double-digit top-line growth as the company pushes more customers to cloud-based versions of its application and database software. There have been bumps in the road, but there is growing evidence that the story is ...",0.24267,Somewhat-Bullish,ORCL,0.801457,0.396407,Bullish
"Oracle  ( NYSE:ORCL )  - Oracle's Cloud Business Sustains Momentum On Heels Of Mixed Quarter Results, Cerner Deal",20220913T163237,"Shares of Oracle Corporation ORCL rose during Monday's after-hours session, despite the Austin, Texas-based company posting earnings short of expectations. Investors bought Oracle shares after the database software giant reported quarterly upbeat revenues with a healthy contribution from the ...",0.256079,Somewhat-Bullish,ORCL,0.805954,0.447495,Bullish
Oracle  ( NYSE:ORCL )  - Check Out What Whales Are Doing With ORCL,20220913T170643,"A whale with a lot of money to spend has taken a noticeably bullish stance on Oracle. Looking at options history for Oracle ORCL we detected 18 strange trades. If we consider the specifics of each trade, it is accurate to state that 50% of the investors opened trades with bullish expectations ...",0.108193,Neutral,ORCL,0.894261,0.232357,Somewhat-Bullish
Oracle  ( NYSE:ORCL )  - Oracle's Earnings Rally Tumbles With Market Rattled By Inflation,20220913T205122,What started out as a good day to report earnings has turned into an extremely bad one for Oracle Corporation ( NYSE: ORCL ) . The price action following the software stock's first-quarter report makes it the PreMarket Prep Stock of the Day.,-0.031464,Neutral,ORCL,0.587962,0.213577,Somewhat-Bullish
Is Oracle Stock a Buy Now?,20220914T090500,The cloud software giant continues to impress investors.,0.083943,Neutral,ORCL,0.455156,0.126256,Neutral
Is Most-Watched Stock Oracle Corporation  ( ORCL )  Worth Betting on Now?,20220916T130007,"Oracle (ORCL) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",0.230926,Somewhat-Bullish,ORCL,0.523044,0.143753,Neutral
Should Invesco Dynamic Large Cap Value ETF  ( PWV )  Be on Your Investing Radar?,20220919T102007,Style Box ETF report for ...,0.359347,Bullish,ORCL,0.11983,0.29477,Somewhat-Bullish
$100 Invested In This Stock 20 Years Ago Would Be Worth $800 Today - Oracle  ( NYSE:ORCL ) ,20220919T173805,"Oracle ORCL has outperformed the market over the past 20 years by 3.31% on an annualized basis producing an average annual return of 11.12%. Currently, Oracle has a market capitalization of $184.02 billion.",0.160819,Somewhat-Bullish,ORCL,0.983605,0.387251,Bullish
Aviation Analytics Market worth $4.7 billion by 2027 - Exclusive Report by MarketsandMarkets™,20220920T113100,"CHICAGO, Sept. 20, 2022 /PRNewswire/ -- Aviation Analytics Market is projected to grow from USD 2.5 billion in 2022 to USD 4.7 billion by 2027, at a CAGR of 13.0% from 2022 to 2027, according to a new report by MarketsandMarkets™.",0.354843,Bullish,ORCL,0.055621,0.104136,Neutral
Twitter to depose Elon Musk in Delaware on Sept. 26-27,20220920T145700,Twitter to depose Elon Musk in Delaware on Sept. ...,0.087504,Neutral,ORCL,0.15347,0.0,Neutral
Twitter to depose Elon Musk in Delaware on Sept 26-27,20220920T150900,The two sides are locked in an increasingly acrimonious legal battle that has swept up of some of the biggest names in Silicon Valley and Wall Street ...,0.040501,Neutral,ORCL,0.204072,0.0,Neutral
Oracle Corp. Japan shares fall sharply after Q1 net profit slumps,20220922T020500,Oracle Corp. Japan's shares fell sharply Thursday morning after its first-quarter net profit dropped 3.8% from a year earlier due to higher costs.,0.048037,Neutral,ORCL,0.608634,0.157071,Somewhat-Bullish
"Jeff Bezos, Others Looking at Suns and Mercury - Amazon.com  ( NASDAQ:AMZN ) ",20220923T163928,"After Robert Sarver's announcement that he is selling the Phoenix Suns and Mercury, an assortment of billionaire former CEOs have emerged as potential buyers.",0.125993,Neutral,ORCL,0.303175,-0.186902,Somewhat-Bearish
JNJ: 3 Stocks That Can Outlast a Bumpy Market,20220923T192128,"In its quest to bring down the skyrocketing inflation, the Federal Reserve raised benchmark interest rates by another 75 basis points on Wednesday. The central bank projects economic growth of just 0.2% this year and 1.2% in 2023.",0.247782,Somewhat-Bullish,ORCL,0.199037,0.187172,Somewhat-Bullish
"Silicon Photonics Market Size, Share, Trends, and Forecast Report 2022-2029 | Fortune Business Insights™",20220927T054732,"Pune, India, Sept. 27, 2022 ( GLOBE NEWSWIRE ) -- The global silicon photonics market will derive growth from exceptional product properties.",0.325522,Somewhat-Bullish,ORCL,0.058759,0.0,Neutral
Elon Musk Spent A Night Texting Oracle Co-Founder Before Walking Away From Twitter Deal: Report - Twitter  ( NYSE:TWTR ) ,20220927T104710,Tesla Inc TSLA CEO Elon Musk texted well into the night with Oracle Corporation ORCL co-founder Larry Ellison before putting on hold a $44 billion agreement to purchase Twitter Inc TWTR.,0.030827,Neutral,ORCL,0.254307,0.311545,Somewhat-Bullish
Papaya Global Achieves 'Built for NetSuite' Status,20220927T114400,"New Papaya Global SuiteApp meets Oracle NetSuite SuiteCloud Platform development standards and best practices. TEL AVIV, Israel and LAS VEGAS, Sept. 27, 2022 /PRNewswire/ -- Papaya Global, the leading global people management platform for the remote working era, today announced that its Papaya ...",0.323078,Somewhat-Bullish,ORCL,0.047278,0.0,Neutral
TrueCommerce Brings Release Accounting and Cumulative Management Capabilities to Oracle Cloud,20220927T120000,"PITTSBURGH, Sept. 27, 2022 ( GLOBE NEWSWIRE ) -- TrueCommerce, a global provider of supply chain and trading partner connectivity, integration and omnichannel solutions-and member of Oracle PartnerNetwork ( OPN ) -has collaborated with Oracle to bring release accounting and cumulative management ...",0.227406,Somewhat-Bullish,ORCL,0.064449,0.0,Neutral
Is Trending Stock Oracle Corporation  ( ORCL )  a Buy Now?,20220927T130008,"Oracle (ORCL) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",0.21511,Somewhat-Bullish,ORCL,0.525907,0.153715,Somewhat-Bullish
SEC Fines Oracle $23M For Violations Of Foreign Corrupt Practices Act - Oracle  ( NYSE:ORCL ) ,20220927T151915,"The U.S. SEC disclosed settling charges requiring Oracle Corp ORCL to pay over $23 million for violating the Foreign Corrupt Practices Act ( FCPA ) provisions. Oracle's subsidiaries in Turkey, the United Arab Emirates ( UAE ) , and India created and used slush funds to bribe foreign officials ...",-0.140117,Neutral,ORCL,0.925854,-0.339084,Somewhat-Bearish
Oracle to Settle SEC Foreign Bribery Charges For the Second Time,20220927T175500,"Oracle Corp. agreed to pay more than $23 million to settle allegations it violated antibribery laws, the Securities and Exchange Commission said.",0.012152,Neutral,ORCL,0.118647,-0.083045,Neutral
"SEC fines Oracle $23 mn for bribing officials in India, Turkey, and UAE",20220928T041800,"Oracle India's employees used ""an excessive discount scheme"" in connection with a transaction with a transportation company, says the SEC order ...",-0.002434,Neutral,ORCL,0.085936,-0.053301,Neutral
'Contrary to core values': Oracle reacts after SEC fine over slush funds,20220928T061400,Indian employees of US tech giant used discount scheme in dealing with transportation firm owned by railways ministry: Regulator ...,-0.01678,Neutral,ORCL,0.118064,-0.063633,Neutral
Human Capital Management Market Projected to Grow USD 28.93 Billion at a 8.2% CAGR by 2030 - Report by Market Research Future  ( MRFR ) ,20220928T124902,"New York, US, Sept. 28, 2022 ( GLOBE NEWSWIRE ) -- According to a comprehensive research report by Market Research Future ( MRFR ) , ""Human Capital Management Market, By Component, By Organization size, By Deployment, By End-User - Forecast 2030"", the market will reach USD 28.93 billion at an ...",0.241453,Somewhat-Bullish,ORCL,0.035608,0.0,Neutral
NetSuite Helps Businesses Run Better and Support Growth,20220928T160500,"Innovations and updates across the suite give customers the insight and control to increase productivity, enhance profitability, and drive growth LAS VEGAS, Sept 28, 2022 /PRNewswire/ -- SUITEWORLD 2022 -- Oracle NetSuite today announced a series of new product innovations to help organizations ...",0.471412,Bullish,ORCL,0.032961,0.0,Neutral
How Is The Market Feeling About Oracle? - Oracle  ( NYSE:ORCL ) ,20220928T161831,"Oracle's ORCL short percent of float has risen 21.35% since its last report. The company recently reported that it has 16.70 million shares sold short, which is 1.08% of all regular shares that are available for trading. Based on its trading volume, it would take traders 2.2 days to cover their ...",0.267375,Somewhat-Bullish,ORCL,0.224903,0.158881,Somewhat-Bullish
Tesla Adds Airbnb Co-Founder Joe Gebbia to Board of Directors,20220928T213100,The addition brings the electric-vehicle maker's board size back to eight seats.,0.255043,Somewhat-Bullish,ORCL,0.582526,0.0,Neutral
Elon Musk's Tesla Adds Airbnb Co-founder Joe Gebbia To Its Board: Here's The Fine Print - Tesla  ( NASDAQ:TSLA ) ,20220929T011510,"Tesla Inc. TSLA has added Airbnb Inc ABNB co-founder Joe Gebbia to its Board of Directors with effect from September 25, the company said in a statement.",0.118552,Neutral,ORCL,0.2872,0.17705,Somewhat-Bullish
Customer Experience Analytics Market Projected to Hit USD 36.21 Billion at a 16.4% CAGR by 2030 - Report by Market Research Future  ( MRFR ) ,20220929T140532,"New York, US, Sept. 29, 2022 ( GLOBE NEWSWIRE ) -- According to a comprehensive research report by Market Research Future ( MRFR ) , ""Global Customer Experience Analytics Market, By Touch Point, Solution - Forecast 2030"", the market will touch USD 36.21 billion at a 16.4% CAGR by 2030.",0.294801,Somewhat-Bullish,ORCL,0.070105,0.127636,Neutral
